,Temp,Humidity,Wind,Precipitation,Pressure
0,19.33,0.93,1.67,rain,1014.98
1,19.23,0.92,1.61,rain,1014.93
2,19.13,0.92,1.56,rain,1014.88
3,19.03,0.91,1.52,rain,1014.84
4,19.03,0.91,1.51,rain,1014.8
5,19.03,0.91,1.51,rain,1014.76
6,19.03,0.9,1.51,rain,1014.73
7,19.03,0.9,1.51,rain,1014.69
8,18.88,0.9,1.55,rain,1014.67
9,18.73,0.9,1.59,rain,1014.66
10,18.57,0.9,1.64,rain,1014.64
11,18.42,0.9,1.69,rain,1014.63
12,18.22,0.9,1.74,rain,1014.64
13,18.02,0.9,1.79,rain,1014.65
14,17.82,0.9,1.85,rain,1014.66
15,17.62,0.9,1.91,rain,1014.67
16,17.91,0.9,1.88,rain,1014.7
17,18.19,0.9,1.84,rain,1014.73
18,18.47,0.9,1.81,rain,1014.77
19,18.76,0.9,1.77,rain,1014.8
20,19.34,0.88,1.9,rain,1014.84
21,19.92,0.85,2.03,rain,1014.89
22,20.49,0.83,2.15,rain,1014.93
23,21.07,0.8,2.28,rain,1014.97
24,21.48,0.79,2.21,rain,1015.02
25,21.89,0.77,2.19,rain,1015.06
26,22.31,0.76,2.19,rain,1015.1
27,22.72,0.75,2.23,rain,1015.14
28,23.16,0.72,2.16,rain,1015.16
29,23.61,0.7,2.09,rain,1015.19
30,24.06,0.67,2.02,rain,1015.21
31,24.5,0.64,1.95,rain,1015.24
32,25.01,0.61,1.94,rain,1015.23
33,25.52,0.58,1.95,rain,1015.23
34,26.02,0.55,2.0,rain,1015.23
35,26.53,0.52,2.07,rain,1015.23
36,26.78,0.52,1.96,rain,1015.19
37,27.02,0.52,1.93,rain,1015.16
38,27.26,0.51,1.97,rain,1015.13
39,27.51,0.51,2.09,rain,1015.1
40,27.49,0.5,2.07,rain,1015.04
41,27.47,0.49,2.16,rain,1014.98
42,27.46,0.48,2.36,rain,1014.93
43,27.44,0.47,2.65,rain,1014.87
44,27.59,0.46,2.92,rain,1014.8
45,27.74,0.45,3.18,rain,1014.73
46,27.88,0.44,3.45,rain,1014.66
47,28.03,0.43,3.72,rain,1014.59
48,28.22,0.44,4.12,rain,1014.52
49,28.42,0.45,4.54,rain,1014.46
50,28.61,0.45,4.97,rain,1014.39
51,28.81,0.46,5.41,rain,1014.33
52,28.56,0.46,5.33,rain,1014.28
53,28.3,0.46,5.25,rain,1014.23
54,28.05,0.47,5.18,rain,1014.19
55,27.8,0.47,5.11,rain,1014.14
56,27.55,0.48,4.81,rain,1014.13
57,27.3,0.49,4.51,rain,1014.11
58,27.05,0.5,4.22,rain,1014.1
59,26.79,0.52,3.93,rain,1014.08
60,26.55,0.53,3.68,rain,1014.1
61,26.3,0.54,3.46,rain,1014.12
62,26.05,0.55,3.29,rain,1014.14
63,25.8,0.57,3.17,rain,1014.16
64,25.3,0.59,2.93,rain,1014.21
65,24.79,0.62,2.69,rain,1014.26
66,24.29,0.65,2.45,rain,1014.31
67,23.79,0.68,2.22,rain,1014.37
68,23.64,0.71,2.17,rain,1014.44
69,23.48,0.74,2.14,rain,1014.51
70,23.33,0.77,2.11,rain,1014.58
71,23.18,0.8,2.1,rain,1014.65
72,22.83,0.82,1.71,rain,1014.72
73,22.47,0.84,1.37,rain,1014.79
74,22.12,0.86,1.11,rain,1014.87
75,21.76,0.87,1.0,rain,1014.94
76,21.61,0.88,0.93,rain,1015.0
77,21.44,0.89,1.08,rain,1015.06
78,21.28,0.89,1.38,rain,1015.12
79,21.13,0.9,1.76,rain,1015.18
80,20.95,0.89,1.75,rain,1015.22
81,20.78,0.88,1.74,rain,1015.25
82,20.6,0.87,1.73,rain,1015.29
83,20.43,0.86,1.73,rain,1015.32
84,20.35,0.86,1.65,rain,1015.33
85,20.28,0.85,1.57,rain,1015.33
86,20.2,0.84,1.5,rain,1015.33
87,20.12,0.83,1.44,rain,1015.34
88,19.85,0.83,1.49,rain,1015.31
89,19.58,0.83,1.55,rain,1015.29
90,19.3,0.83,1.61,rain,1015.26
91,19.03,0.84,1.67,rain,1015.24
92,19.08,0.83,1.54,rain,1015.19
93,19.13,0.82,1.41,rain,1015.15
94,19.18,0.81,1.29,rain,1015.11
95,19.23,0.8,1.18,rain,1015.06
96,19.01,0.81,1.34,rain,1015.02
97,18.78,0.83,1.49,rain,1014.97
98,18.56,0.84,1.65,rain,1014.92
99,18.33,0.85,1.8,rain,1014.87
100,18.18,0.85,1.67,rain,1014.84
101,18.03,0.86,1.55,rain,1014.8
102,17.87,0.87,1.44,rain,1014.76
103,17.72,0.88,1.34,rain,1014.73
104,17.74,0.88,1.32,rain,1014.71
105,17.77,0.89,1.3,rain,1014.7
106,17.79,0.89,1.28,rain,1014.68
107,17.82,0.9,1.27,rain,1014.67
108,17.66,0.9,1.21,rain,1014.68
109,17.5,0.91,1.18,rain,1014.69
110,17.34,0.91,1.17,rain,1014.7
111,17.18,0.91,1.2,rain,1014.71
112,17.61,0.91,1.25,rain,1014.74
113,18.03,0.9,1.32,rain,1014.77
114,18.46,0.89,1.4,rain,1014.81
115,18.88,0.88,1.5,rain,1014.84
116,19.47,0.85,1.68,rain,1014.88
117,20.07,0.82,1.86,rain,1014.93
118,20.66,0.79,2.05,rain,1014.97
119,21.25,0.76,2.24,rain,1015.01
120,21.82,0.74,2.15,rain,1015.05
121,22.39,0.72,2.09,rain,1015.1
122,22.96,0.7,2.03,rain,1015.14
123,23.53,0.67,1.99,rain,1015.18
124,23.96,0.64,1.9,rain,1015.2
125,24.38,0.6,1.81,rain,1015.23
126,24.81,0.57,1.72,rain,1015.25
127,25.24,0.53,1.64,rain,1015.28
128,25.69,0.52,0.77,rain,1015.27
129,26.14,0.52,0.21,rain,1015.27
130,26.58,0.51,1.01,rain,1015.27
131,27.03,0.5,1.88,rain,1015.26
132,27.02,0.51,2.16,rain,1015.23
133,27.01,0.51,2.45,rain,1015.2
134,27.0,0.51,2.73,rain,1015.17
135,26.99,0.51,3.02,rain,1015.13
136,27.29,0.5,3.11,rain,1015.08
137,27.59,0.49,3.22,rain,1015.02
138,27.89,0.48,3.34,rain,1014.96
139,28.19,0.47,3.49,rain,1014.9
140,28.15,0.49,3.75,rain,1014.84
141,28.11,0.5,4.01,rain,1014.77
142,28.07,0.52,4.29,rain,1014.7
143,28.03,0.54,4.56,rain,1014.63
144,28.09,0.52,4.74,rain,1014.56
145,28.16,0.51,4.93,rain,1014.49
146,28.23,0.49,5.12,rain,1014.43
147,28.29,0.47,5.32,rain,1014.36
148,27.92,0.49,5.16,rain,1014.32
149,27.54,0.5,5.0,rain,1014.27
150,27.17,0.52,4.85,rain,1014.22
151,26.8,0.53,4.69,rain,1014.18
152,26.73,0.54,4.33,rain,1014.16
153,26.67,0.55,3.97,rain,1014.15
154,26.6,0.55,3.61,rain,1014.13
155,26.53,0.56,3.25,rain,1014.12
156,26.35,0.57,3.08,rain,1014.14
157,26.17,0.59,2.91,rain,1014.16
158,25.98,0.61,2.74,rain,1014.18
159,25.8,0.62,2.57,rain,1014.2
160,25.48,0.63,2.33,rain,1014.25
161,25.16,0.64,2.08,rain,1014.3
162,24.84,0.65,1.84,rain,1014.35
163,24.52,0.66,1.59,rain,1014.41
164,24.19,0.7,1.0,rain,1014.48
165,23.85,0.74,0.47,rain,1014.55
166,23.52,0.79,0.48,rain,1014.62
167,23.18,0.83,1.0,rain,1014.69
168,22.97,0.82,1.14,rain,1014.76
169,22.75,0.82,1.45,rain,1014.83
170,22.54,0.81,1.85,rain,1014.91
171,22.32,0.81,2.28,rain,1014.98
172,22.04,0.81,1.95,rain,1015.04
173,21.76,0.81,1.63,rain,1015.1
174,21.48,0.81,1.3,rain,1015.16
175,21.19,0.81,0.98,rain,1015.22
176,21.28,0.82,0.96,rain,1015.26
177,21.36,0.84,0.96,rain,1015.29
178,21.44,0.85,0.96,rain,1015.33
179,21.52,0.86,0.97,rain,1015.36
180,21.42,0.87,1.1,rain,1015.36
181,21.32,0.87,1.25,rain,1015.37
182,21.23,0.88,1.39,rain,1015.37
183,21.13,0.88,1.54,rain,1015.37
184,20.88,0.89,1.51,rain,1015.35
185,20.62,0.9,1.48,rain,1015.32
186,20.37,0.91,1.46,rain,1015.3
187,20.12,0.92,1.43,rain,1015.27
188,20.3,0.91,1.67,rain,1015.23
189,20.47,0.9,1.9,rain,1015.19
190,20.65,0.89,2.15,rain,1015.14
191,20.82,0.88,2.39,rain,1015.1
192,20.75,0.88,2.37,rain,1015.05
193,20.67,0.89,2.38,rain,1015.01
194,20.6,0.9,2.4,rain,1014.96
195,20.52,0.91,2.44,rain,1014.91
196,20.52,0.91,2.7,rain,1014.87
197,20.52,0.91,2.95,rain,1014.84
198,20.52,0.91,3.21,rain,1014.8
199,20.52,0.91,3.47,rain,1014.76
200,20.1,0.9,2.34,rain,1014.75
201,19.67,0.9,1.22,rain,1014.73
202,19.25,0.89,0.34,rain,1014.72
203,18.83,0.89,1.16,rain,1014.7
204,18.83,0.89,0.16,rain,1014.71
205,18.83,0.9,0.84,rain,1014.73
206,18.83,0.91,1.84,rain,1014.74
207,18.84,0.92,2.84,rain,1014.75
208,19.01,0.92,2.6,rain,1014.78
209,19.19,0.92,2.37,rain,1014.81
210,19.36,0.93,2.13,rain,1014.84
211,19.53,0.93,1.9,rain,1014.88
212,20.07,0.91,1.55,rain,1014.92
213,20.6,0.88,1.22,rain,1014.96
214,21.13,0.86,0.94,rain,1015.01
215,21.67,0.83,0.74,rain,1015.05
216,22.04,0.81,1.13,rain,1015.09
217,22.43,0.79,1.52,rain,1015.14
218,22.81,0.77,1.9,rain,1015.18
219,23.18,0.74,2.29,rain,1015.22
220,23.39,0.74,2.26,rain,1015.24
221,23.59,0.73,2.27,rain,1015.27
